DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Impact of FPGS and GGH SNPs on plasma folate and homocysteine levels in the Singapore Chinese health study.,Sarah J. Oppeneer,(missing journal),2010,"University of Minnesota M.S. thesis. June 2010. Major: Nutrition. Advisor: Kim Robien. 1 computer file (PDF); v, 23 pages.",587f9532-a4dc-4d61-88c9-032bfb48a109,1,23,(missing PubMedId)
10.3390/CANCERS13112837,Systematic Review of Pharmacogenetic Factors That Influence High-Dose Methotrexate Pharmacokinetics in Pediatric Malignancies.,"Zachary L. Taylor, Jesper Vang, Elixabet Lopez–Lopez, Natanja Oosterom, Torben Stamm-Mikkelsen, Laura B. Ramsey",Cancers,2021,"Simple Summary High-dose methotrexate is commonly used to treat several types of cancer. While effective, elimination of high-dose methotrexate from the body is highly variable and delayed elimination can lead to serious and sometime life-threatening adverse events. There have been many clinical studies to better understand how genetics influence the variability in methotrexate elimination, mostly through candidate gene studies and three genome-wide association studies. Unfortunately, there are conflicting results and some studies lack the appropriate replication and validation needed to confirm their effects on methotrexate elimination. Therefore, the purpose of this systematic review was to summarize all of the germline pharmacogenetic association studies of genetic associations influencing high-dose methotrexate elimination in children with cancer. Abstract Methotrexate (MTX) is a mainstay therapeutic agent administered at high doses for the treatment of pediatric and adult malignancies, such as acute lymphoblastic leukemia, osteosarcoma, and lymphoma. Despite the vast evidence for clinical efficacy, high-dose MTX displays significant inter-individual pharmacokinetic variability. Delayed MTX clearance can lead to prolonged, elevated exposure, causing increased risks for nephrotoxicity, mucositis, seizures, and neutropenia. Numerous pharmacogenetic studies have investigated the effects of several genes and polymorphisms on MTX clearance in an attempt to better understand the pharmacokinetic variability and improve patient outcomes. To date, several genes and polymorphisms that affect MTX clearance have been identified. However, evidence for select genes have conflicting results or lack the necessary replication and validation needed to confirm their effects on MTX clearance. Therefore, we performed a systematic review to identify and then summarize the pharmacogenetic factors that influence high-dose MTX pharmacokinetics in pediatric malignancies. Using the PRISMA guidelines, we analyzed 58 articles and 24 different genes that were associated with transporter pharmacology or the folate transport pathway. We conclude that there is only one gene that reliably demonstrates an effect on MTX pharmacokinetics: SLCO1B1.",03df7220-55a3-4de9-a0b8-a3a64fb47d7f,68,118,https://pubmed.ncbi.nlm.nih.gov/34200242
10.1055/S-0044-1797688,FOLATE PATHWAY GENES ASSOCIATION AS A GENETIC RISK FACTOR FOR DEATHS IN CHILDREN WITH ACUTE LYMPHOBLASTIC LEUKEMIA PATIENTS FROM AN ADMIXED POPULATION IN THE BRAZILIAN AMAZON,"Darlen Carvalho,  Alayde Vieira Wanderley,  Marianne Rodrigues Fernandes,  Luciana Pereira Colares Leitão,  Tatiane Piedade de Souza,  Amanda de Nazaré Cohen Lima de Castro,  André Salim Khayat,  S. S. dos Santos,  Paulo Pimentel de Assumpção,  Ney Pereira Carneiro dos Santos",Brazilian Journal of Oncology,2019,(missing abstract),9d329538-0d0c-4125-87f7-6589995ebd3a,0,0,(missing PubMedId)
10.2217/PGS-2016-0067,Moving toward personalized medicine in rheumatoid arthritis: SNPs in methotrexate intracellular pathways are associated with methotrexate therapeutic outcome.,"Áurea Lima, Miguel Bernardes, Rita Azevedo, Vitor Seabra, Rui Medeiros",Pharmacogenomics (London),2016,"AIM
Evaluate the potential of selected SNPs as predictors of methotrexate (MTX) therapeutic outcome.


PATIENTS & METHODS
In total, 35 SNPs in 14 genes involved in MTX intracellular pathways and Phase II reactions were genotyped in 233 rheumatoid arthritis (RA) patients treated with MTX. Binary logistic regressions were performed by genotype/haplotype-based approaches. Non-Response- and Toxicity-Genetic Risk Indexes (Non-RespGRI and ToxGRI) were created.


RESULTS
MTX nonresponse was associated to eight genotypes and three haplotypes: MTHFR rs1801131 AA and rs1801133 TT; MS rs1805087 AA; MTRR rs1801394 A carriers; ATIC rs2372536 C carriers, rs4673993 T carriers, rs7563206 T carriers and rs12995526 T carriers; CC for GGH rs3758149 and rs12681874; CGTTT for ATIC combination 1; and CTTTC for ATIC combination 2. From overall Non-RespGRI patients with indexes 6-8 had more than sixfold increased risk for MTX nonresponse than those patients with indexes 0-5. MTX-related toxicity was associated to five genotypes and two haplotypes: ATIC rs2372536 G carriers, rs3821353 T carriers, rs7563206 CC and rs12995526 CC; ADORA2A rs2267076 T; CTTCC for ATIC combination 1; and TC for ADORA2A rs2267076 and rs2298383. From overall ToxGRI, patients with indexes 3-4 had more than sevenfold increased risk for MTX-related toxicity than those patients with indexes 1-2.


CONCLUSION
Genotyping may be helpful to identify which RA patients will not benefit from MTX treatment and, consequently, important to personalized medicine in RA. Nevertheless, further studies are required to validate these findings.",46c5a61f-043b-4e09-9dd4-a3acf21d271a,44,93,https://pubmed.ncbi.nlm.nih.gov/27676277
10.46235/1028-7221-333-GHG,Gamma-glutamyl hydrolase gene polymorphisms – another way to predict methotrexate efficacy in rheumatoid arthritis,"I. V. Devald, E. A. Khodus, Е. Б. Хромова, K. Yu. Myslivtsova, А. Л. Бурмистрова",Russian Journal of Immunology,2020,"The current treatment strategy for rheumatoid arthritis has been formulated within the framework of the European League Against Rheumatism (EULAR) concept “Treatment to achieve the goal”. Methotrexate prescribed as soon as possible after verifying rheumatoid arthritis is recognized as a first-line drug that allows to achieve disease remission and prevent destructive changes in the joints. Long-term clinical experience of using methotrexate allowed to conclude that almost 30% patients with rheumatoid arthritis turn out to be resistant to such treatment, enforcing to change the basal anti-inflammatory therapy, shift to using targeted or genetically engineered biological drugs, so that timeframe to prevent disease progression can be irreversibly lost. In the last decade, genetic testing for drug therapy effectiveness has been gaining momentum based on individual features in functioning of enzyme systems which regulate various stages of drug biotransformation. To date, a personalized approach to treatment of rheumatoid arthritis may be implemented after examining more than a dozen of single nucleotide polymorphisms (SNPs) within the folate cycle genes responsible for metabolizing methotrexate as well as its mechanism of action. In our work, we attempted to test a relationship between therapeutic response (efficacy and resistance) to methotrexate and -401CT (rs 3758149) SNP in the GGH (gamma-glutamyl hydrolase) gene, which coordinates the processes of extracellular methotrexate transport. A groups patients consisted of 85 basic anti-inflammatory therapy-naïve patients diagnosed with rheumatoid arthritis, who were initially treated with methotrexate at a dose of 10 to 17.5 mg per week, with subsequently assessed therapeutic efficacy 6 months after the treatment onset based on dynamics in DAS28 index that allowed to identify groups of “responders” and “non-responders”. Next, all patients from select groups underwent molecular genetic typing for GGH-401CT SNP by using real-time polymerase chain reaction. Our study allowed to find that prevalence of the TT homozygous genotype (OR = 5.09; 95% CI 1.11- 23.3; p = 0.037) dominated in “methotrexate non-responders”, whereas “methotrexate responders” tended to have higher C allele frequency (OR = 0.54; 95% CI 0.27-1.01; p = 0.087), which allowed to identify them by genetic predictors of methotrexate therapeutic response in rheumatoid arthritis.",51ad2490-3409-4202-bb68-aa3aeed6a4b9,0,13,(missing PubMedId)
(missing DOI),Interethnic Differences in Single and Haplotype Structures of Folylpolyglutamate Synthase and Gamma-glutamyl Hydrolase Variants and Their Influence on …,"PS Kulkarni, K Das, N Agrawal, M Kala, R Khanduri… - ijmpo.org",(missing journal),(missing year),Aim: We aim to establish the genotype and haplotype frequencies of folylpolyglutamate synthase (FPGS rs10106 and rs1544105) and gamma-glutamyl hydrolase (GGH rs3758149 and …,6b863af1-aeda-46f0-843e-8ef49a95e00e,0,0,(missing PubMedId)
(missing DOI),AB0498 ASSOCIATION OF METABOLIC PATHWAY-RELATED SINGLE NUCLEOTIDE POLYMORPHISMS WITH ORAL METHOTREXATE TREATMENT OUTCOMES …,A Rahman,Annals of the Rheumatic Diseases,2024,"… The SNP rs3758149 of GGH was related to an increased rate of ADR, specifically nausea. The presence of any extra-articular manifestations and baseline high B-HAQ were predictors …",25fac5f3-ef10-4207-a420-f1ae8c931877,0,0,(missing PubMedId)
(missing DOI),Interethnic differences in single and haplotype structures of folylpolyglutamate synthase and gamma-glutamyl hydrolase variants and their influence on disease …,"SK Sunitha Kodidela, SC Pradhan… - 2018 - cabidigitallibrary.org",(missing journal),(missing year),Aim: We aim to establish the genotype and haplotype frequencies of folylpolyglutamate synthase (FPGS rs10106 and rs1544105) and gamma-glutamyl hydrolase (GGH rs3758149 and …,6773b1d1-c295-4897-aa97-a3fa47afbfaa,0,0,(missing PubMedId)
10.1016/J.LRR.2019.100188,"Association of genes ARID5B, CEBPE and folate pathway with acute lymphoblastic leukemia in a population from the Brazilian Amazon region","Darlen Cardoso de Carvalho, Alayde Vieira Wanderley, Fernando Augusto Rodrigues Mello, André Mauricio Ribeiro dos Santos, Luciana Pereira Colares Leitão, Tatiane Piedade de Souza, Amanda de Nazaré Cohen Lima de Castro, Leandro Magalhães, Marianne Rodrigues Fernandes, João Augusto Nunes de Carvalho, André Salim Khayat, Sidney Emanuel Batista dos Santos, Paulo Pimentel Assumpção, Ney Pereira Carneiro dos Santos",Leukemia research reports,2020,"Abstract   Acute Lymphoblastic Leukemia (ALL) is the most common childhood neoplasia. Studies have shown that susceptibility to ALL may be modulated by genetic variables. Our study investigated 21 genetic variants in the susceptibility of the population of the Brazilian Amazon region to B-cell ALL. The variants of the genes GGH, CEBPE, ARID5B, MTHFR and MTHFD1 were related to a protective effect against the development of ALL, whereas the variant of the gene ATIC was associated with a risk effect. The results suggest that genetic variants analyzed modulate of the risk of developing ALL in the studied population.",14a458e6-ea0a-4bfb-8ee4-d2ee02899bf8,8,47,https://pubmed.ncbi.nlm.nih.gov/31867206
(missing DOI),"葉酸ポリグルタメート合成酵素は,関節リウマチ患者の細胞内メトトレキサートポリグルタメート濃度を調整する主要な因子である",Takeshi Yamamoto,Institutional Repositories DataBase (IRDB),(missing year),(missing abstract),0aa9d0ec-addb-438d-97f7-4d108c014a0c,0,0,(missing PubMedId)
(missing DOI),Determinants of Erythrocyte Methotrexate,"JM Hazes, R de Jonge",The Journal of Rheumatology,2014,Objective. Low-dose methotrexate (MTX) is the anchor drug in the treatment for rheumatoid arthritis (RA). Response to MTX is related to the intracellular MTX-polyglutamate (MTX-PG) …,d3d0d1a4-3e55-4042-9557-086d1a7e822f,0,0,(missing PubMedId)
10.3390/IJMS160818601,Role of Pharmacogenetics in Hematopoietic Stem Cell Transplantation Outcome in Children.,"Raffaella Franca, Gabriele Stocco, Diego Favretto, Nagua Giurici, Giuliana Decorti, Marco Rabusin",International Journal of Molecular Sciences,2015,"Hematopoietic stem cell transplantation (HSCT) is an established therapeutic procedure for several congenital and acquired disorders, both malignant and nonmalignant. Despite the great improvements in HSCT clinical practices over the last few decades, complications, such as graft vs. host disease (GVHD) and sinusoidal obstructive syndrome (SOS), are still largely unpredictable and remain the major causes of morbidity and mortality. Both donor and patient genetic background might influence the success of bone marrow transplantation and could at least partially explain the inter-individual variability in HSCT outcome. This review summarizes some of the recent studies on candidate gene polymorphisms in HSCT, with particular reference to pediatric cohorts. The interest is especially focused on pharmacogenetic variants affecting myeloablative and immunosuppressive drugs, although genetic traits involved in SOS susceptibility and transplant-related mortality are also reviewed.",7d81bca3-046a-43bc-b49c-e702c7fe5925,13,105,https://pubmed.ncbi.nlm.nih.gov/26266406
