DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1186/1744-9081-10-26,"Polymorphisms in genes implicated in dopamine, serotonin and noradrenalin metabolism suggest association with cerebrospinal fluid monoamine metabolite concentrations in psychosis","Dimitrios Andreou, Erik Söderman, Tomas Axelsson, Göran C. Sedvall, Lars Terenius, Ingrid Agartz, Erik G. Jönsson",Behavioral and Brain Functions,2014,"Homovanillic acid (HVA), 5-hydroxyindoleacetic acid (5-HIAA) and 3-methoxy-4-hydroxyphenylglycol (MHPG) are the major monoamine metabolites in the central nervous system (CNS). Their cerebrospinal fluid (CSF) concentrations, reflecting the monoamine turnover rates in CNS, are partially under genetic influence and have been associated with schizophrenia. We have hypothesized that CSF monoamine metabolite concentrations represent intermediate steps between single nucleotide polymorphisms (SNPs) in genes implicated in monoaminergic pathways and psychosis. We have searched for association between 119 SNPs in genes implicated in monoaminergic pathways [tryptophan hydroxylase 1 (TPH1), TPH2, tyrosine hydroxylase (TH), DOPA decarboxylase (DDC), dopamine beta-hydroxylase (DBH), catechol-O-methyltransferase (COMT), monoamine oxidase A (MAOA) and MAOB] and monoamine metabolite concentrations in CSF in 74 patients with psychotic disorder. There were 42 nominally significant associations between SNPs and CSF monoamine metabolite concentrations, which exceeded the expected number (20) of nominal associations given the total number of tests performed. The strongest association (p = 0.0004) was found between MAOB rs5905512, a SNP previously reported to be associated with schizophrenia in men, and MHPG concentrations in men with psychotic disorder. Further analyses in 111 healthy individuals revealed that 41 of the 42 nominal associations were restricted to patients with psychosis and were absent in healthy controls. The present study suggests that altered monoamine turnover rates in CNS reflect intermediate steps in the associations between SNPs and psychosis.",d6bcda46-5b39-4438-9e01-db28cddc4845,48,67,https://pubmed.ncbi.nlm.nih.gov/25073638
10.1111/ADB.12062,PTSD risk associated with a functional DRD2 polymorphism in heroin‐dependent cases and controls is limited to amphetamine‐dependent individuals,"Elliot C. Nelson, Andrew C. Heath, Michael T. Lynskey, Arpana Agrawal, Anjali K. Henders, Lisa Bowdler, Alexandre A. Todorov, Pamela A. F. Madden, Elizabeth Moore, Louisa Degenhardt, Nicholas G. Martin, Grant W. Montgomery",Addiction Biology,2014,"Posttraumatic stress disorder (PTSD), a pathologic response to severe stress, is a common co‐morbid disorder in substance‐dependent individuals. Evidence from twin studies suggests that PTSD is moderately heritable. Genetic association studies to date have reported a limited number of replicated findings. We conducted a candidate gene association study in trauma‐exposed individuals within the Comorbidity and Trauma Study's sample (1343 heroin‐dependent cases and 406 controls from economically disadvantaged neighborhoods). After data cleaning, the 1430 single nucleotide polymorphisms (SNPs) retained for analyses provided coverage of 72 candidate genes and included additional SNPs for which association was previously reported as well as 30 ancestry‐informative markers. We found a functional DRD2 promoter polymorphism (rs12364283) to be most highly associated with PTSD liability [odds ratio (OR) 1.65 (1.27–2.15); P = 1.58 × 10−4]; however, this association was not significant, with a stringent Bonferroni correction for multiple comparisons. The top hits include SNPs from other dopaminergic system genes: DRD2 DRD3, TH and DBH. Additional analyses revealed that the association involving rs12364283 is largely limited to amphetamine‐dependent individuals. Substantial risk is observed in amphetamine‐dependent individuals, with at least one copy of this SNP [OR 2.86 (1.92–4.27); P = 2.6 × 10−7]. Further analyses do not support extensive mediation of PTSD risk via self‐reported impulsivity (BIS total score). These findings suggest roles for impairment in inhibitory control in the pathophysiology of PTSD and raise questions about stimulant use in certain populations (e.g. those in combat).",4d8336a9-5740-4688-b0f1-12d688bb414c,18,53,https://pubmed.ncbi.nlm.nih.gov/23647975
10.1093/ALCALC/AGV114,Influence of Dopaminergic System Genetic Variation and Lifestyle Factors on Excessive Alcohol Consumption.,"David Celorrio, Xavier Muñoz, Pilar Amiano, Miren Dorronsoro, Luís Bujanda, María‐José Sánchez, Esther Molina‐Montes, Carmen Navarro, M.D. Chirlaque, José M. Huerta, Eva Ardanáz, Aurelio Barricarte, Laudina Rodríguez, Eric J. Duell, Elizabeth Hijona, Marta Herreros‐Villanueva, Núria Sala, Miguel Á. Alfonso‐Sánchez, Marian M. de Pancorbo",Alcohol and alcoholism,2016,"AIMS
To examine the role of genetic and environmental factors in the pathogenesis of alcohol dependence in a Spanish cohort of women and men.


METHODS
We analyzed the relationship between 56 genetic variants in 7 genes associated with the dopaminergic reward pathway and excessive alcohol consumption. The study sample (N = 1533, of which 746 were women) consisted of 653 heavy consumers and 880 very low consumers from the Spanish subcohort of the European Prospective Investigation into Cancer and Nutrition (EPIC) cohort. Single nucleotide polymorphisms (SNPs) were genotyped using a customized array. Lifestyle variables were also examined to assess associations between genetic and environmental factors.


RESULTS
No statistically significant differences were found between cases and controls for the allele frequencies in five genes: TH, SLC18A2, DRD1, DRD3 and COMT. Conversely, some alleles of the 12 SNPs from the DRD2 locus and the 5 from the MAOA locus showed significant associations with excessive alcohol consumption. Namely, rs10891556 (DRD2) proved to be the only SNP positively correlated with excessive alcohol consumption in both sexes. DRD2 rs1800497 and rs877138 were significantly associated in men, whereas DRD2 rs17601612 and rs4936271 and MAOA rs5906898 were associated with excessive alcohol consumption in women. A correspondence analysis provided an overall lifestyle profile of excessive drinkers, who were predominantly men who smoked, had large intakes of meat, small intakes of fruit and vegetables, whose jobs did not require high education levels and who engaged in little physical activity.


CONCLUSIONS
It has shown the influence of dopaminergic pathway in the genetics of alcohol dependence with differences between men and women and providing a lifestyle profile of excessive drinkers.",6ff84a8d-3c2a-4d05-835a-632683f8fcf5,10,77,https://pubmed.ncbi.nlm.nih.gov/26447226
(missing DOI),"Association between single nucleotide polymorphisms in ADRB2, GNB3 and GSTP1 genes and high-altitude pulmonary edema (HAPE) in the Chinese Han …","Y He, L Liu, P Xu, N He, D Yuan, L Kang, T Jin",Oncotarget,2017,"… suggested that the TH gene may be associated with homovanillic acid and 3-methoxy-4-hydroxyphenylglycol, and the SNPs selected were rs10770140, rs10770141, and rs10840491 […",e2a6f1e8-0852-4bc5-a4e8-018f569abbe0,0,0,(missing PubMedId)
10.1158/1055-9965.EPI-20-0026,Genetics of Smoking Behaviors in American Indians.,"Jeffrey A. Henderson,  Dedra S Buchwald,  Barbara V Howard,  Jeffrey A. Henderson,  Yafang Li,  Christopher I. Amos,  Christopher I. Amos,  Olga Y Gorlova","Cancer Epidemiology, Biomarkers & Prevention",2020,"The smoking behavior of American Indians (AI) differs from that of non-Hispanic whites (NHW). Typically light smokers, cessation interventions in AIs are generally less effective. To develop more effective cessation programs for AIs, clinicians, researchers, and public health workers need a better understanding of the genetic factors involved in their smoking behavior. Our aim was to assess whether SNPs associated with smoking behavior in NHWs are also associated with smoking in AIs.We collected questionnaire data on smoking behaviors and analyzed blood and saliva samples from two Tribal populations with dramatically different cultures and smoking prevalence, one in the Northern Plains (n = 323) and the other in the Southwest (n = 176). A total of 384 SNPs were genotyped using an Illumina custom GoldenGate platform. Samples were also assessed for cotinine and 3-hydroxycotinine as markers of nicotine intake and nicotine metabolite ratio.Among 499 participants, we identified, in the Northern Plains sample only, a variant of the gamma-aminobutyric acid receptor subunit alpha-2 (GABRA2) (rs2119767) on chromosome 4p that was associated with many of the intake biomarkers of smoking we examined, suggesting a role for this gene in modifying smoking behavior in this population. We also identified three SNPs, in the Southwest sample only, as significant correlates of only cigarettes per day: rs4274224, rs4245147 (both dopamine receptor D2 gene), and rs1386493 (tryptophan hydroxylase 2 gene).The contribution of many genes known to underlie smoking behaviors in NHWs may differ in AIs.Once validated, these variants could be useful in developing more effective cessation strategies.",352474f9-da60-4cee-ae54-a5f89e5fd5e0,2,74,https://pubmed.ncbi.nlm.nih.gov/32855268
(missing DOI),Molecular genetic studies on cerebrospinal fluid monoamine metabolites in psychotic patients and healthy individuals,Dimitrios Andreou,(missing journal),2015,(missing abstract),c78310f5-0d3f-4aaa-aff9-fbf7824d1fed,0,0,(missing PubMedId)
(missing DOI),Genomics of Pain in Sickle Cell Disease,N Sadhu - 2020 - search.proquest.com,(missing journal),(missing year),Sickle cell disease (SCD) is a genetic blood disorder characterized by debilitating episodes of acute pain along with lifelong chronic pain. Pain is not only the major reason for high …,248cb773-7ce4-484c-b08c-2812caf76ec0,0,0,(missing PubMedId)
10.1097/YPG.0B013E32832A4FCD,Tyrosine hydroxylase Val81Met polymorphism: lack of association with schizophrenia.,"Dimitrios Andreou, Peter Saetre, Per Lundmark, Thomas Folkmann Hansen, Sally Timm, Ingrid Melle, Srdjan Djurovic, Ole A Andreassen, Thomas Werge, Håkan Hall, Ingrid Agartz, Lars Terenius, Erik G. Jönsson",Psychiatric genetics,2009,"Department of Clinical Neuroscience, HUBIN project, Karolinska Institutet and Hospital, Department of Medical Sciences, Molecular Medicine, Uppsala University, Uppsala, Sweden, Research Institute of Biological Psychiatry, Mental Health Center Sct. Hans, Copenhagen University Hospital, Roskilde, Mental Health Center Frederiksberg, Copenhagen University Hospital, Frederiksberg, Denmark, TOP project, Division of Psychiatry, Ullevål University Hospital & Institute of Psychiatry, University of Oslo, Department of Medical Genetics, Ullevål University Hospital, Institute of Psychiatry, University of Oslo, Psykiatrisk institutt, Vinderen and Department of Psychiatric Research, Diakonhjemmet Hospital, Oslo, Norway Correspondence to Dr Dimitrios Andreou, MD, Department of Clinical Neuroscience, HUBIN project, Karolinska Institutet and Hospital, R5:00, SE-171 76 Stockholm, Sweden Tel: + 46 8 51772626; fax: + 46 8 346563; e-mail: dimitrios.andreou@sll.se",2562394e-9189-48b6-9ff3-ed70a7bdc1a2,6,5,https://pubmed.ncbi.nlm.nih.gov/19491717
(missing DOI),Association of SLC6A3 variants with treatment-resistant schizophrenia: a genetic association study of dopamine-related genes in schizophrenia,"M Kogure, N Kanahara, A Miyazawa, Y Shiko…",Frontiers in …,2024,Background Most genetic analyses that have attempted to identify a locus or loci that can distinguish patients with treatment-resistant schizophrenia (TRS) from those who respond to …,517ce8ab-954f-40a0-a4ac-b4a6cb258c5f,0,0,(missing PubMedId)
(missing DOI),Personality Genetics and Health in Super-Seniors,Jessica Marit Turner Nelson,(missing journal),2015,(missing abstract),f3609dda-ba80-499f-9308-f2a68e87b867,0,508,(missing PubMedId)
