DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1016/J.YMGME.2011.09.035,Genetic variation in folylpolyglutamate synthase and gamma-glutamyl hydrolase and plasma homocysteine levels in the Singapore Chinese Health Study.,"Sarah J. Oppeneer, Julie A. Ross, Woon‐Puay Koh, Jian‐Min Yuan, Kim Robien",Molecular Genetics and Metabolism,2012,"Abstract   The enzymes folylpolyglutamate synthase (FPGS) and gamma-glutamyl hydrolase (GGH) are essential for determining intracellular folate availability for one-carbon metabolism (OCM) pathways. FPGS adds glutamyl groups to the folate molecule, thereby converting folate into the preferred substrate for several enzymes in OCM pathways. GGH removes glutamyl groups, allowing folate metabolites to leave the cell. The purpose of this study was to evaluate whether single nucleotide polymorphisms (SNPs) in the FPGS and GGH genes influence measured plasma homocysteine levels. Study participants were a sub-cohort (n = 482) from the Singapore Chinese Health Study. SNPs were selected using HapMap tagSNPs and SNPs previously reported in the scientific literature. Multiple linear regression was used to evaluate the association between individual SNPs and plasma homocysteine levels. Two FPGS (rs10106, rs1098774) and 9 GGH (rs719235, rs1031552, rs1800909, rs3758149, rs3780126, rs3824333, rs4617146, rs11545076, rs11545078) SNPs were included in the final analysis. Neither of the FPGS SNPs, but three GGH SNPs were associated with plasma homocysteine levels: rs11545076 (p = 0.001), rs1800909 (p = 0.02), and rs3758149 (p = 0.006). Only one (rs11545076) remained statistically significant after adjusting for multiple comparisons. This study suggests that GGH SNPs, rs11545076, rs1800909, and rs3758149, may have functional relevance and result in alterations in plasma homocysteine levels. Since this is one of the first studies to assess FPGS and GGH genetic variants in relation to plasma homocysteine, further research is needed to confirm these findings and characterize the functional effects of these variants.",0e1a3cde-ce89-4e09-a882-6bc7afd7ded7,11,31,https://pubmed.ncbi.nlm.nih.gov/22018726
(missing DOI),Impact of FPGS and GGH SNPs on plasma folate and homocysteine levels in the Singapore Chinese health study.,Sarah J. Oppeneer,(missing journal),2010,"University of Minnesota M.S. thesis. June 2010. Major: Nutrition. Advisor: Kim Robien. 1 computer file (PDF); v, 23 pages.",587f9532-a4dc-4d61-88c9-032bfb48a109,1,23,(missing PubMedId)
10.1038/LEU.2008.240,Polymorphisms in DNA repair and one-carbon metabolism genes and overall survival in diffuse large B-cell lymphoma and follicular lymphoma.,"Sophia Wang, Matthew J. Maurer, Lindsay M. Morton, Thomas M. Habermann, Scott Davis, Wendy Cozen, Charles F. Lynch, Richard K. Severson, Nathaniel Rothman, Stephen J. Chanock, Patricia Hartge, James R. Cerhan",Leukemia,2009,Polymorphisms in DNA repair and one-carbon metabolism genes and overall survival in diffuse large B-cell lymphoma and follicular lymphoma,50f800bd-cd1a-416e-9ece-1a83e2b44bf4,35,16,https://pubmed.ncbi.nlm.nih.gov/18830263
10.1080/07853890.2025.2539311,A controlled comparative study of the effects of methotrexate and pharmacogenetic factors on arterial blood pressure and arterial stiffness in patients with rheumatoid arthritis,"Arduino A. Mangoni,  Michael D. Wiese,  Richard Woodman,  Salvatore Sotgia,  Angelo Zinellu,  Ciriaco Carru,  Julie-Ann Hulin,  E. Michael Shanahan,  Sara Tommasi",Annals of Medicine,2025,"Observational studies have shown that methotrexate, a conventional synthetic disease-modifying antirheumatic drug (csDMARD), is associated with lower arterial blood pressure (BP) and may reduce cardiovascular risk in rheumatoid arthritis (RA). However, it remains unclear whether a cause-and-effect relationship exists between the use of methotrexate and blood pressure reduction. We conducted a controlled comparative study of treatment-naïve newly diagnosed RA patients commenced on subcutaneous methotrexate (Group 1, n = 31, age 57 ± 15 years, 65% females, Disease Activity Score-28 - C-reactive protein, DAS28-CRP = 4.7 ± 1.2) or the DMARD comparator sulfasalazine (Group 2, n = 31, 54 ± 17 years, 61% females, DAS28-CRP = 5.0 ± 0.8). Clinic systolic (SBP, primary study endpoint) and diastolic BP (DBP) and augmentation index (AIx, a marker of arterial stiffness) were measured at baseline and after one and six months of treatment (ClinicalTrials.gov: NCT03254589). After six months, compared to Group 2, Group 1 patients had significantly lower SBP (-7.4 mmHg, 95% CI -14.0 to -0.8, p = 0.03). By contrast, there were no significant between-group differences in DBP (p = 0.18), AIx (p = 0.85), or DAS28-CRP (p = 0.16). A significant effect of single nucleotide polymorphisms (SNPs) rs1801133 (methyl tetrahydrofolate reductase) and rs2231142 (ATP-binding cassette subfamily G member 2) on BP changes during methotrexate treatment was observed. This is the first comparative study showing that methotrexate significantly reduces SBP in RA. This effect did not coincide with significant changes in arterial stiffness or disease activity. Further research is warranted to investigate the mechanisms underpinning the SBP-lowering effects of methotrexate, the role of specific SNPs, and whether such effects may account for reduced cardiovascular risk in patients with RA.",dafeb2a4-aad8-4d5d-99a1-2b5a2a892aa4,3,82,https://pubmed.ncbi.nlm.nih.gov/40742006
10.1038/SREP35615,Folylpolyglutamate synthase is a major determinant of intracellular methotrexate polyglutamates in patients with rheumatoid arthritis.,"Tatsuhiro Yamamoto, Kotaro Shikano, Toshihiro Nanki, Shinichi Kawai",Scientific Reports,2016,"We investigated major determinants of the intracellular concentrations of methotrexate polyglutamates (MTXPGs) in patients with rheumatoid arthritis (RA). In 271 RA patients on stable oral low dose weekly pulse MTX therapy, the concentrations of MTXPGs in red blood cells (RBCs) were measured by liquid chromatography-electrospray ionization-tandem mass spectrometry. Polymerase chain reaction-restriction fragment length polymorphism analysis was performed to determine the genotypes of solute carrier family 19 member 1 (SLC19A1), folylpolyglutamate synthase (FPGS), and gamma-glutamyl hydrolase (GGH). The mean total MTXPG concentration and the concentrations of individual MTXPGs increased dose-dependently, but reached a plateau at MTX doses >10 mg weekly. The MTXPG3-5/1-2 ratio was lower in patients with adverse events related to MTX than in patients without adverse events. Three polymorphisms of FPGS significantly influenced the MTXPG3-5/1-2 ratio in RBCs, while polymorphisms of SLC19A1 and GGH had no impact. The minor allele frequencies of 2 FPGS genotypes were significantly increased in our patients compared with a Caucasian population. FPGS may have a major role in regulating intracellular polyglutamation of MTX in RA patients receiving low-dose weekly MTX therapy.",5104df2d-c958-47f2-9051-5ede30e2913e,69,35,https://pubmed.ncbi.nlm.nih.gov/27752107
10.1007/S00277-019-03629-7,The role of ABCB1 polymorphism as a prognostic marker for primary central nervous system lymphoma,"Ting Wu, Hui Kang, Dongxiao Zhuang, Yan Ma, Zhiguang Lin, Dina Suolitiken, Bobin Chen, Xiaoping Xu",Annals of Hematology,2019,"To investigate the possible role of functional single nucleotide polymorphism (SNP) in circadian genes as prognostic markers of primary central nervous system lymphoma (PCNSL). We conducted a prospective study using data from Huashan Hospital 2006–2015 and followed up 91 PCNSL patients until June 30, 2016. The survival of patients with different prognostic factors was compared by log-rank test. Univariate and multivariate analyses were performed by Cox regression. During a long-term follow-up (6–110 months), overall survival (OS) was 32 months (95% CI, 13.3–91.1) and progression-free survival (PFS) was 23 months (95% CI, 9.0–41.0) for the entire cohort. Age (P = 0.046, P = 0.001) and performance status (PS) score (P = 0.013, P = 0.003) showed differences in OS and PFS. ABCB1 rs1045642 variant showed significant difference in PFS between patients with CC genotype and those with CT/TT genotypes (P = 0.020). In multivariate analysis, age (HR = 2.3; 95% CI, 1.2–4.2, P = 0.008), PS (HR = 2.4; 95% CI, 1.3–4.4, P = 0.007), and ABCB1 rs1045642 (HR = 1.9; 95% CI, 1.0–3.3, P = 0.036) were the independent risk factors for PFS. In our results, the most important prognostic factors associated with higher risk of progression were ABCB1 rs1045642 CC genotype, PS > 2, and older age.",a885b381-42b6-42b5-90c3-73843a5d9968,7,37,https://pubmed.ncbi.nlm.nih.gov/30729282
(missing DOI),Folic acid pathway single nucleotide polymorphisms associated with methotrexate significant adverse events in United States veterans with rheumatoid arthritis.,"Lisa Davis, Brooke I. Polk, Alyse Mann, Roger K. Wolff, Gail S. Kerr, Andreas Reimold, Grant W. Cannon, Ted R. Mikuls, Liron Caplan",Clinical and experimental rheumatology,2014,"Objective Methotrexate (MTX) is the cornerstone medication in the treatment of rheumatoid arthritis (RA). We examined whether single nucleotide polymorphisms (SNPs) in enzymes of the folic acid pathway (folylpoly-gamma-glutamate synthetase [FPGS], gamma-glutamyl hydrolase [GGH], and methylenetetrahydrofolate reductase [MTHFR]) associate with significant adverse events (SigAE). Methods Patients (n=319) enrolled in the Veterans Affairs RA (VARA) registry taking MTX were genotyped for HLA-DRB1-SE and the following SNPs: FPGS (rs7033913, rs10760503, rs10106), GGH (12548933, rs7010484, rs4617146, rs719235, rs11988534), MTHFR (rs1801131, rs1801133). AE were abstracted from the medical record using a structured instrument. SigAE were defined as an AE leading to MTX discontinuation. Covariates included: age, gender, race, RA antibody status, tobacco, RA disease duration between diagnosis and MTX course, Charlson-Deyo comorbidity index, glucocorticoids, use of prior RA medications, and mean 4-variable disease activity score. Cox regression was performed to determine factors associated with time-to-SigAE. A p-value ≤0.005 established significance in the final model. Results The presence of ≥1 copy of the minor allele in MTHFR rs1801131 was associated with an increased hazard ratio (HR) of SigAE (HR 3.05, 95% CI 1.48–6.29, p-value 0.003 and HR 3.88, 95% CI 1.62–9.28, p-value 0.002 for heterozygotes and homozygotes for the minor allele, respectively). An interaction term, between FPGS rs7033913 heterozygotes and GGH rs11988534 homozygotes for the minor allele, had a p-value <0.0001. Conclusion RA subjects taking MTX may have decreased time-to-SigAE with ≥ 1 copy of the minor allele in MTHFR rs1801131. Further investigation is warranted, as these SNPs may indicate susceptibility to MTX toxicity.",6226dccd-117d-4e17-8795-323ec2a95e20,36,42,https://pubmed.ncbi.nlm.nih.gov/24447348
(missing DOI),Polymorphisms in DNA Repair and One-Carbon Metabolism Genes and Overall Survival in Diffuse Large B-Cell Lymphoma (DLBCL) and Follicular Lymphoma,"MD Habermann, S Davis",Leukemia,2009,"… In FL, FTHFD (rs1127717) AG/GG, MTHFR (rs1801131) AC/CC, and GGH (rs719235) GT/TT genotypes were associated with overall survival with hazard ratios of 1.99 (95% CI=1.07–…",83b887f7-ca7c-4cde-b901-6b9adc141708,0,0,(missing PubMedId)
10.1007/S00280-020-04058-4,Pharmacokinetics and pharmacogenetics of high-dose methotrexate in Chinese adult patients with non-Hodgkin lymphoma: a population analysis,"Lin Yang, Hui Wu, Brenda C. M. de Winter, Changcheng Sheng, Hongqiang Qiu, Yu Cheng, Juan Chen, Qiuling Zhao, Jing Huang, Zheng Jiao, Ruixiang Xie",Cancer Chemotherapy and Pharmacology,2020,"High-dose methotrexate (HD-MTX) is widely used in the treatment of non-Hodgkin lymphoma (NHL), but the pharmacokinetic properties of HD-MTX in Chinese adult patients with NHL have not yet been established through an approach that integrates genetic covariates. The purposes of this study were to identify both physiological and pharmacogenomic covariates that can explain the inter- and intraindividual pharmacokinetic variability of MTX in Chinese adult patients with NHL and to explore a new sampling strategy for predicting delayed MTX elimination. A total of 852 MTX concentrations from 91 adult patients with NHL were analyzed using the nonlinear mixed-effects modeling method. FPGS, GGH, SLCO1B1, ABCB1 and MTHFR were genotyped using the Sequenom MassARRAY technology platform and were screened as covariates. The ability of different sampling strategies to predict the MTX concentration at 72 h was assessed through maximum a posteriori Bayesian forecasting using a validation dataset (18 patients). A two-compartment model adequately described the data, and the estimated mean MTX clearance (CL) was 6.03 L/h (9%). Creatinine clearance (CrCL) was identified as a covariate for CL, whereas the intercompartmental clearance (Q) was significantly affected by the body surface area (BSA). However, none of the genotypes exerted a significant effect on the pharmacokinetic properties of MTX. The percentage of patients with concentrations below 0.2 µmol/L at 72 h decreased from 65.6 to 42.6% when the CrCL decreased from 90 to 60 ml/min/1.73 m2 with a scheduled dosing of 3 g/m2, and the same trend was observed with dose regimens of 1 g/m2 and 2 g/m2. Bayesian forecasting using the MTX concentrations at 24 and 42 h provided the best predictive performance for estimating the MTX concentration at 72 h after dosing. The MTX population pharmacokinetic model developed in this study might provide useful information for establishing personalized therapy involving MTX for the treatment of adult patients with NHL.",63086f16-c225-4b98-af7b-f767262ab04f,30,49,https://pubmed.ncbi.nlm.nih.gov/32246190
10.2217/PGS-2017-0110,SLCO1B1 rs4149056 genetic polymorphism predicting methotrexate toxicity in Chinese patients with non-Hodgkin lymphoma.,"Lin Yang, Hui Wu, Teun van Gelder, Maja Matič, Junshan Ruan, Yong Han, Ruixiang Xie",Pharmacogenomics (London),2017,"AIM
To investigate the impact of polymorphisms in the FPGS, GGH and SLCO1B1 genes on high dose methotrexate (HD-MTX) related toxicity in Chinese patients with non-Hodgkin lymphoma (NHL).


MATERIALS & METHODS
We analyzed FPGS (rs10106), GGH (rs719235, rs10464903, rs12681874), SLCO1B1 (rs4149056) genetic polymorphisms in 105 Chinese patients with NHL treated with HD-MTX.


RESULTS
There was a statistically significant impact of the SLCO1B1 rs4149056 polymorphism on hepatotoxicity. Patients with TC and CC genotype had more hepatotoxicity than TT genotype (60 vs 32.94%, p = 0.025). After adjusting for disease stage, dosage, infusion time and therapy method, SLCO1B1 rs4149056 genotype remained significantly associated with hepatotoxicity (p = 0.028).


CONCLUSION
SLCO1B1 rs4149056 genetic variants can affect the HD-MTX-related toxicity in Chinese patients with NHL.",1625f7cb-0348-4b22-85b9-9bba632e364e,19,24,https://pubmed.ncbi.nlm.nih.gov/29095107
