DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),GENE-ENVIRONMENT INTERACTIONS IN NON-HODGKIN LYMPHOMA: A STATISTICAL ANALYSIS,Rachel Altman,(missing journal),2013,"An emerging focus of cancer epidemiology is the role of the environment together with genes in determining risk, often referred to as gene-environment interaction. For non-Hodgkin lymphoma (NHL), environmental exposures such as organochlorines are important risk factors. On the other hand, familial clustering of NHL suggests that genetics also plays a role. In this project, we analyze data from a BC population-based case-control study of NHL, to evaluate gene-environment interactions between the organochlorine oxychlordane and single-nucleotide polymorphisms (SNPs) that tag genes involved in the elimination of foreign compounds from the body. A statistically significant interaction between oxychlordane and an intronic SNP within the ABCC4 gene was identified at false-discovery rate level 10%. The same intronic region of ABCC4 produced the four most significant interactions. These results may be viewed in the context of recent work connecting intronic SNPs to regulation of gene expression and the development of cancer.",3255b3c8-fdf4-4978-b39c-d60b25848567,1,25,(missing PubMedId)
10.1038/TPJ.2015.98,ABCC3 genetic variants are associated with postoperative morphine-induced respiratory depression and morphine pharmacokinetics in children.,"Vidya Chidambaran, Raja Venkatasubramanian, X Zhang, Lisa J. Martin, Jiachao Niu, Tomoyuki Mizuno, Tsuyoshi Fukuda, Jarek Meller, Alexander A. Vinks, Senthilkumar Sadhasivam",Pharmacogenomics Journal,2017,"Respiratory depression (RD) is a serious side effect of morphine and detrimental to effective analgesia. We reported that variants of the ATP binding cassette gene ABCC3 (facilitates hepatic morphine metabolite efflux) affect morphine metabolite clearance. In this study of 316 children undergoing tonsillectomy, we found significant association between ABCC3 variants and RD leading to prolonged postoperative care unit stay (prolonged RD). Allele A at rs4148412 and allele G at rs729923 caused a 2.36 (95% CI=1.28–4.37, P=0.0061) and 3.7 (95% CI 1.47–9.09, P=0.0050) times increase in odds of prolonged RD, respectively. These clinical associations were supported by increased formation clearance of morphine glucuronides in children with rs4148412 AA and rs4973665 CC genotypes in this cohort, as well as an independent spine surgical cohort of 67 adolescents. This is the first study to report association of ABCC3 variants with opioid-related RD, and morphine metabolite formation (in two independent surgical cohorts).",a7a27bd1-a5ee-4517-8dc7-3a3fdd00d634,34,52,https://pubmed.ncbi.nlm.nih.gov/26810133
10.1111/BCPT.12703,ABCC3 Polymorphisms and mRNA Expression Influence the Concentration of a Carboxylic Acid Metabolite in Patients on Clopidogrel and Aspirin Therapy,"André Ducati Luchessi, Marta Concheiro, Juliana de Freitas Germano, Vivian Nogueira Silbiger, Raul Hernandes Bortolin, Angelines Cruz, O. Quintela, Marı́a Brión, Ãngel Carracedo, Andres Iñiguez, Marisol Bravo, Manuel López‐Rivadulla, Rosário Dominguez Crespo Hirata, Amanda G.M.R. Sousa, Mário Hiroyuki Hirata",Basic & clinical pharmacology & toxicology,2017,"Acetylsalicylic acid (ASA) and clopidogrel combined therapy has been reported to be beneficial in patients with acute coronary syndrome (ACS). Antiplatelet drug resistance, especially to clopidogrel, is a multifactorial phenomenon that affects a large number of ACS patients. The genetic contribution to this drug response is not fully elucidated. We investigated the relationship of ABC‐type efflux subfamily C member 3 (ABCC3) polymorphisms and mRNA expression with plasma concentrations of clopidogrel, salicylic acid (SA) and a carboxylic acid metabolite (CAM). Clopidogrel, CAM and SA plasma concentrations were measured simultaneously by liquid chromatography–tandem mass spectrometry (LCMS/MS) from 83 ACS patients undergoing percutaneous coronary intervention. ABCC3 (rs757421, rs733392 and rs739923) and CYP2C19*2 (rs4244285) polymorphisms as well as mRNA expression were evaluated. A positive correlation was found between CAM concentrations and ABCC3 mRNA expression (r = 0.494, p < 0.0001). Patients carrying genotype AA (rs757421 variant) had higher CAM concentrations and ABCC3 mRNA expression as compared to those of GG + GA carriers (p = 0.017). A multiple linear regression analysis revealed that ABCC3 mRNA expression (p = 0.017), rs757421 AA genotype (p = 0.001), blood collection time (p = 0.018) and clopidogrel dose (p = 0.001) contributed to the concentration of CAM. No associations were observed for the CYP2C19*2 polymorphism. These results suggest that up‐regulation of ABCC3 mRNA expression leads to increased plasma CAM levels through MRP3‐mediated cell efflux. The ABCC3 rs757421 polymorphism may contribute to gene expression. Therefore, ABCC3 may be a potential biomarker for the response to clopidogrel.",2d7ba642-2eeb-4223-bbb5-e7a603ab7d1d,4,59,https://pubmed.ncbi.nlm.nih.gov/27862978
10.1007/S40122-022-00374-0,"Progress, Challenges, and Prospects of Research on the Effect of Gene Polymorphisms on Adverse Reactions to Opioids","Jinsong Zhao, Shihong Cai, Long Zhang, Yuefeng Rao, Xianhui Kang, Zhiying Feng",Pain and Therapy,2022,"The abuse of opioids has become one of the most serious concerns in the world. Opioid use can cause serious adverse reactions, including respiratory depression, postoperative nausea and vomiting, itching, and even death. These adverse reactions are also important complications of clinical application of opioid drugs that may affect patient safety and recovery. Due to the fear of adverse reactions of opioids, clinicians often do not dare to use opioids in an adequate or appropriate amount, thus affecting the clinical medication strategy and the quality of treatment for patients. The prediction of adverse reactions to opioids is one of the most concerned problems in clinical practice. At present, the correlation between gene polymorphism and the efficacy of opiates has been widely studied and preliminarily confirmed, but the research on the effect of gene polymorphism on the adverse reactions of opiates is relatively limited. Existing studies have made encouraging progress in predicting the incidence and severity of adverse opioid reactions and clinical management by using genetic testing, but most of these studies are single-center, small-sample clinical studies or animal experiments, which have strong limitations. When the same receptor or enzyme is studied by different experimental methods, different or even opposite conclusions can be drawn. These phenomena indicate that the correlation between gene polymorphism and adverse opioid reaction still needs further research and demonstration. At present, it is still too early to use genetic testing to predict opioid adverse reactions in clinic. In this paper, the correlation between gene polymorphism and adverse opioid reactions and a small number of clinical applications were reviewed in terms of pharmacokinetics and pharmacodynamics, in order to provide some suggestions for future research and clinical drug decision making.",8e9b2432-d6c9-4517-98ea-27baa93810d5,10,91,https://pubmed.ncbi.nlm.nih.gov/35429333
10.1007/S100380200018,"Identification of 779 genetic variations in eight genes encoding members of the ATP-binding cassette, subfamily C (ABCC/MRP/CFTR.","Susumu Saito, Aritoshi Iida, Akihiro Sekine, Yohei Miura, Chie Ogawa, S. Kawauchi, S. Higuchi, Y. Nakamura",Journal of Human Genetics,2002,"We screened DNAs from 48 Japanese individuals for single-nucleotide polymorphisms (SNPs) in eight genes encoding the ATP-binding cassette, subfamily C (ABCC/MRP/CFTR), by direct sequencing of their entire genomic regions, except repetitive sequence elements. This approach identified 688 SNPs and 91 insertion/deletion polymorphisms among the eight genes. Of the 688 SNPs, 81 were identified in the ABCC1 gene, 41 in ABCC2, 30 in ABCC3, 230 in ABCC4, 76 in ABCC5, 58 in CFTR, 102 in ABCC8, and 70 in ABCC9. Six SNPs were located in the 5′ flanking regions, 617 in introns, 46 in exons, and 19 in the 3′ flanking regions. These variants should contribute to studies that investigate possible correlations of genotypes with disease-susceptibility phenotypes and responsiveness or adverse effects to drugs.",aa0e681b-c0c5-42b5-acb8-0d9b2dc26407,148,57,https://pubmed.ncbi.nlm.nih.gov/12166651
10.1097/ACO.0000000000000633,Genetics and genomics in postoperative pain and analgesia,"Vinko Palada, Mari Kaunisto, Eija Kalso",Current Opinion in Anaesthesiology,2018,"Purpose of review The review describes recent advances in genetics and genomics of postoperative pain, the association between genetic variants and the efficacy of analgesics, and the role of pharmacogenomics in the selection of appropriate analgesic treatments for postoperative pain. Recent findings Recent genetic studies have reported associations of genetic variants in catechol-O-methyltransferase (COMT), brain-derived neurotrophic factor (BDNF), voltage-gated channel alpha subunit 11 (SCN11A) and &mgr;-opioid receptor (OPRM1) genes with postoperative pain. The recent pharmacogenetics studies revealed an association of the organic cation transporter 1 (OCT1) and ATP-binding cassette C3 (ABCC3) polymorphisms with morphine-related adverse effects, an effect of polymorphisms in cytochrome P450 gene CYP2D6 on the analgesic efficacy of tramadol and no effect of CYP2C8 and CYP2C9 variants on efficacy of piroxicam. Summary Genetic variants associate with inter-individual variability in drug responses and they can affect pain sensitivity and intensity of postoperative pain. Despite the recent progress in genetics and genomics of postoperative pain, it is still not possible to precisely predict the patients who are genetically predisposed to have severe postoperative pain or who develop chronic postoperative pain.",631204e4-3392-461a-b8ea-85420a8d4494,33,63,https://pubmed.ncbi.nlm.nih.gov/29994939
10.1080/23808993.2017.1331704,Opioid-induced respiratory depression: the role of genetics,"Vidya Chidambaran, John J. McAuliffe",Expert review of precision medicine and drug development,2017,"ABSTRACTIntroduction: Opioids are commonly used for treatment of many types of pain, including postoperative chronic and cancer pain. Respiratory depression is a potentially fatal adverse effect of...",11782909-dc3c-4acb-9124-3e70cc1756db,2,119,(missing PubMedId)
(missing DOI),Implicación de los polimorfismos genéticos en la neurotoxicidad por Vincristina en pacientes pediátricos diagnosticados de Leucemia Linfoblástica Aguda,"Echebarria Barona, Aizpea Beatriz",(missing journal),2016,"El pronostico de la Leucemia Linfoblastica Aguda en pacientes pediatricos ha mejorado de manera muy significativa. Sin embargo, los efectos secundarios derivados de la quimioterapia continuan siendo un problema pendiente de resolver. Los avances obtenidos en los estudios de farmacogenetica, nos han brindado herramientas para poder entender los mecanismos subyacentes a los procesos oncologicos y respuesta a farmacos, focalizando los esfuerzos terapeuticos hacia una medicina mas personalizada. La vincristina es una quimioterapia necesaria en el tratamiento de la LLA pero su mayor limitacion continua siendo la neurotoxicidad. Hay muchos factores implicados en la susceptibilidad a este quimioterapico, tanto extrinsecos, como el numero de dosis recibidas y la frecuencia de su administracion, como intrinsecos, que se demuestran por la variabilidad genetica interindividual. Por este motivo, es necesario encontrar una explicacion farmacogenetica a la susceptibilidad de desarrollar neurotoxicidad por la vincristina para poder ajustar las dosis de la vincristina, a la vez que se minimizan los efectos secundarios. Ante esta situacion, el objetivo principal de este estudio fue la identificacion de nuevos marcadores geneticos predictores de la eficacia y seguridad de la vincristina en el tratamiento de la LLA infantil. Para ello, se evaluo la correlacion entre la neurotoxicidad inducida por la vincristina y 157 polimorfismos genotipados con exito en 15 genes relacionados con la farmacocinetica y farmacodinamia de la vincristina. Se consiguieron identificar un total de 2 variantes geneticas (los SNPs rs3740066 y rs12826) en el gen transportador ABCC2 asociados con la neurotoxicidad inducida por la vincristina. Estos resultados, junto con los publicados previamente por otros autores, ponen de manifiesto la importancia de la farmacogenetica en el desarrollo de la neurotoxicidad por vincristina. El conocimiento de esta susceptibilidad podria ofrecer, en el futuro, la individualizacion de la dosis segun el estudio farmacogenetico de cada individuo y en consecuencia, mejoraria la respuesta al tratamiento minimizando los efectos secundarios.",ddb925ee-aedc-42ed-8442-a67ea766154b,2,191,(missing PubMedId)
10.1007/S40291-021-00549-Z,Cardiovascular Pharmacogenomics: An Update on Clinical Studies of Antithrombotic Drugs in Brazilian Patients,"Thiago Dominguez Crespo Hirata, Carolina Dagli-Hernandez, Fabiana Dalla Vecchia Genvigir, Volker M. Lauschke, Yitian Zhou, Mário Hiroyuki Hirata, Rosário Dominguez Crespo Hirata",Molecular Diagnosis & Therapy,2021,"Anticoagulant and antiplatelet drugs effectively prevent thrombotic events in patients with cardiovascular diseases, ischemic stroke, peripheral vascular diseases, and other thromboembolic diseases. However, genetic and non-genetic factors affect the response to antithrombotic therapy and can increase the risk of adverse events. This narrative review discusses pharmacogenomic studies on antithrombotic drugs commonly prescribed in Brazil. Multiple Brazilian studies assessed the impact of pharmacokinetic (PK) and pharmacodynamic (PD) gene variants on warfarin response. The reduced function alleles CYP2C9*2 and CYP2C9*3, and VKORC1 rs9923231 (c.-1639G>A) are associated with increased sensitivity to warfarin and a low dose requirement to prevent bleeding episodes, whereas CYP4F2 rs2108622 (p.Val433Met) carriers have higher dose requirements (warfarin resistance). These deleterious variants and non-genetic factors (age, gender, body weight, co-administered drugs, food interactions, and others) account for up to 63% of the warfarin dose variability. Few pharmacogenomics studies have explored antiplatelet drugs in Brazilian cohorts, finding associations between CYP2C19*2, PON1 rs662 and ABCC3 rs757421 genotypes and platelet responsiveness or clopidogrel PK in subjects with coronary artery disease (CAD) or acute coronary syndrome (ACS), whereas ITGB3 contributes to aspirin PK but not platelet responsiveness in diabetic patients. Brazilian guidelines on anticoagulants and antiplatelets recommend the use of a platelet aggregation test or genotyping only in selected cases of ACS subjects without ST-segment elevation taking clopidogrel, and also suggest CYP2C9 and VKORC1 genotyping before starting warfarin therapy to assess the risk of bleeding episodes or warfarin resistance.",74adc489-929b-4373-9047-88894cee0913,8,150,https://pubmed.ncbi.nlm.nih.gov/34357562
10.1016/J.BIOPHA.2023.115930,ABC transporters are predictors of treatment failure in acute myeloid leukaemia.,"Ela Cerovská, Cyril Šálek, Dávid Kundrát, Šárka Šestáková, Adam Pešek, Ivana Brozinova, Monika Belickova, Hana Remešová",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024,"To date, no chemoresistance predictors are included in acute myeloid leukaemia (AML) prognostic scoring systems to distinguish responding and refractory AML patients prior to chemotherapy. ABC transporters have been described as altering AML chemosensitivity; however, a relevant study investigating their role at various molecular levels was lacking. Gene expression, genetic variants, methylation and activity of ABCA2, ABCA5, ABCB1, ABCB6, ABCC1, ABCC3 and ABCG2 were analysed in AML blasts and healthy myeloblasts. Differences between responding and refractory AML in a cohort of 113 patients treated with 3 + 7 induction therapy were explored. ABCC3 variant rs2301837 (p = 0.049), ABCG2 variant rs11736552 (p = 0.044), higher ABCA2 (p = 0.021), ABCC1 (p = 0.017), and ABCG2 expression (p = 0.023) and a higher number of concurrently overexpressed transporters (p = 0.002) were predictive of treatment failure by multivariate analysis. Expression of ABCA5 (p = 0.003), ABCB6 (p = 0.001) and ABCC3 (p < 0.0001) increased significantly after chemotherapy. Higher ABCG2 promoter methylation correlated with lower ABCG2 expression (p = 0.0001). ABCC1 was identified as the most active transporter in AML blasts by functional analysis. ABC transporters, especially ABCC1 seem to contribute substantially to AML chemoresistance. A detailed understanding of chemoresistance mechanisms and the clinical implications of chemosensitivity predictors may lead to alternative therapeutic approaches for AML patients with unveiled chemoresistance signatures.",de95730e-03f3-40c0-95b1-0604d5093c78,14,53,https://pubmed.ncbi.nlm.nih.gov/38039756
